,,,
orgName,url,description,serviceChips
BCYF Paris Street,https://www.boston.gov/departments/boston-centers-youth-families/bcyf-paris-street,BCYF Paris Street is a community center that distributes free grocery bags to East Boston residents on Tuesdays and Fridays after 12:00 p.m. There are no eligibility requirements or appointments needed; residents are encouraged to bring their own bags.,Get groceries
Central Community Church (Clothing),https://www.bostonccc.org/,Central Community Church maintains an open clothing rack every Friday from 11 a.m. to 2 p.m. where visitors can pick up clothing with no eligibility requirements or appointments.,Get clothes
Central Community Church (Food Pantry),https://www.bostonccc.org/,"Central Community Church operates a food pantry that distributes fresh produce and non‑perishable food on Mondays at 1 p.m. Appointments are available for emergency needs, and there are no specific eligibility requirements.",Get groceries; Get emergency food
Crossroads Family Center - Our Daily Bread Pantry,https://www.foodpantries.org/li/holy_redeemer_churchour_daily_bread_pty_02128,Our Daily Bread Pantry is an emergency food pantry at Crossroads Family Center. Visitors should bring a photo ID and proof of East Boston residency. The pantry is open Wednesdays from 3 p.m. to 4 p.m. and provides groceries to households in need.,Get emergency food; Get groceries
East Boston ABCD (SNAP Assistance),https://bostonabcd.org/service/food-stampssnap/,"ABCD offers one‑on‑one appointments to help East Boston residents apply for SNAP benefits. Staff explain eligibility, help complete the application, and advise on necessary documents. Clients should bring identification and financial paperwork; eligibility is ultimately determined by the Massachusetts Department of Transitional Assistance.",Apply for SNAP; Get food benefits
East Boston ABCD APAC,https://bostonabcd.org/location/east-boston-apac/,"East Boston APAC provides a range of services including fuel assistance, basic needs support, utility bill advocacy, citizenship and naturalization assistance, SNAP enrollment, free tax preparation, youth programs, and MBTA reduced‑fare applications. Eligibility varies by program: reduced‑fare transit is for Massachusetts residents ages 18–64 enrolled in certain benefits programs, and naturalization requires being 18+ with a green card for 3–5 years, continuous U.S. residence, and basic English and civics knowledge.",Get fuel help; Get basic needs; Get utility help; Apply for citizenship; Apply for SNAP; Get tax help; Find youth programs; Get cheaper transit
East Boston ABCD Clothing & Essentials,https://bostonabcd.org/service/clothing-and-essentials/,ABCD provides clothing and essential household items to individuals and families who need them. There are no income or residency requirements; items are available while supplies last.,Get clothes; Get basic needs
East Boston ABCD Mobile Food Pop‑Ups,https://bostonabcd.org/service/abcd-food-pop-ups/,"ABCD hosts mobile food pantries at various East Boston locations, providing free groceries. Registration is required but there are no other eligibility requirements.",Get groceries
East Boston Soup Kitchen,http://ebkitchen.org/,The East Boston Community Soup Kitchen offers ready‑to‑eat meals every Tuesday from 2 p.m. to 5 p.m. and distributes free groceries. There are no eligibility requirements or appointments necessary.,Get a hot meal; Get groceries
Eastie Farm,https://eastiefarm.com/,Eastie Farm distributes free produce and offers low‑cost fruits and vegetables at various East Boston sites. Visitors should bring bags; no proof of residency or income is required. They also accept SNAP/HIP benefits.,Get groceries; Buy low-cost produce
"EBNHC Women, Infants & Children (WIC)",https://www.ebnhc.org/en/services/crwc/wic/wic/,"The Women, Infants & Children (WIC) program at East Boston Neighborhood Health Center provides free healthy foods, nutrition education, breastfeeding support and referrals for pregnant or breastfeeding women, new mothers, and children under age 5 who live in Massachusetts and meet income guidelines. Families receiving MassHealth, SNAP or TAFDC automatically qualify. Walk‑ins are welcome at 250 Sumner Street in East Boston.",Get food benefits; Find your benefits
Family Nurturing Center,https://www.changechildrenschances.org/programs,"The Family Nurturing Center offers free family programs, playgroups, home visiting and parenting education to caregivers of young children. Programs are designed to strengthen parent–child relationships, build community, and provide parent support and education.",Get family support; Get parent support; Take parenting classes
Ollie Diaper Depot,https://sbnh.org/ollie-diaper-depot,The Ollie Diaper Depot provides free diapers and wipes to families. It is open on the second Wednesday of each month from 10 a.m. to 1 p.m. and on the fourth Wednesday from 3 p.m. to 6 p.m. Families may visit once per month and must register each month to reserve supplies.,Get diapers; Get baby supplies
Project Bread,https://www.projectbread.org/,"Project Bread is a Massachusetts non‑profit working to end hunger. They advocate for policies that improve food access and connect people to nutrition programs such as school meals, SNAP and Summer Eats. They do not operate a direct food pantry but can help residents find food resources.",Get food help; Find your benefits
