include,sourceName,orgName,resourceCategory,serviceChips,url,address,phone,hours,languages,advisorName,description,launchPriority,verificationStatus,excludeReason,sourceRow,resourceOrder
Y,Resource audit additions Aug 2026,Massachusetts Behavioral Health Help Line,health,Get mental health support; Get crisis support,https://www.masshelpline.com/,,833-773-2445,"Call or text anytime, 24 hours a day",ENG; ESP,Import,"Call or text anytime to talk to someone about stress, sadness, worry, or drinking and drugs. It is free, private, and you do not need insurance. They speak your language. Español: Llame o envíe un texto en cualquier momento para hablar con alguien sobre estrés, tristeza, preocupación o el alcohol y las drogas. Es gratis, privado y no necesita seguro. Hablan su idioma.",,verified-2026-08,,,
Y,Resource audit additions Aug 2026,SafeLink Domestic Violence Hotline,health,Get safety support; Get crisis support,https://www.mass.gov/info-details/massachusetts-safelink-resources,,877-785-2020,"Call anytime, 24 hours a day",ENG; ESP,Import,"Call anytime if someone at home hurts you or scares you. It is free and private, and you do not have to give your name. They speak Spanish and many other languages. Español: Llame en cualquier momento si alguien en su casa le hace daño o le da miedo. Es gratis y privado, y no tiene que dar su nombre. Hablan español y muchos otros idiomas.",,verified-2026-08,,,
Y,Resource audit additions Aug 2026,Learn About the HSE Test (GED or HiSET),hse,Learn about the HSE test; Get training,https://www.doe.mass.edu/hse/,,,,ENG; ESP,Import,"Learn how to get your high school credential in Massachusetts. This page explains the two tests, GED and HiSET, and where you can take them. You can mix parts of both tests. Español: Aprenda cómo obtener su credencial de escuela secundaria en Massachusetts. Esta página explica los dos exámenes, GED y HiSET, y dónde puede tomarlos. Puede combinar partes de los dos exámenes.",,verified-2026-08,,,
Y,Resource audit additions Aug 2026,MassLINKS Free Online Classes,hse,Take classes online; Take English classes; Get training,https://mwcc.edu/mass-links/,,,,ENG; ESP,Import,Take free classes online to study English or get ready for the HSE test. You can study at home and at your own speed. Español: Tome clases gratis en línea para estudiar inglés o prepararse para el examen HSE. Puede estudiar en casa y a su propio ritmo.,,verified-2026-08,,,
Y,Resource audit additions Aug 2026,Help Paying for College,college,Get help paying for college; Go to college,https://www.mass.edu/osfa/,,,,ENG; ESP,Import,"Community college is now free for Massachusetts residents, and there is money to help pay for other colleges. If you finish high school or your HSE in Massachusetts, you can get in-state prices and state money no matter your immigration status. Español: El community college ahora es gratis para residentes de Massachusetts, y hay dinero para ayudar a pagar otros colleges. Si termina la secundaria o su HSE en Massachusetts, puede pagar el precio del estado y recibir ayuda estatal sin importar su estado migratorio.",,verified-2026-08,,,
Y,Resource audit additions Aug 2026,MBTA Reduced Fare (Income-Eligible),money,Get cheaper transit; Find your benefits,https://www.mbta.com/fares/reduced/income-eligible,,,,ENG; ESP,Import,"Pay about half price on the T and the bus. You can get this if you are 18 to 64 and have SNAP, MassHealth, or other state help. ABCD can help you sign up. Español: Pague casi la mitad del precio en el T y el autobús. Puede recibirlo si tiene entre 18 y 64 años y tiene SNAP, MassHealth u otra ayuda del estado. ABCD le puede ayudar a inscribirse.",,verified-2026-08,,,
Y,Resource audit additions Aug 2026,MassHire Metro North Career Center (Chelsea),jobs,Find a job program; Get career help; Use free computers,https://masshiremncareers.com/,"4 Gerrish Ave, Chelsea, MA 02150",617-884-4333,Monday-Thursday 10am-4pm; Friday online only,ENG; ESP,Import,"Get free help looking for a job. You can use computers, printers, and phones there for free, and talk to a job counselor. Just walk in. Español: Reciba ayuda gratis para buscar trabajo. Puede usar computadoras, impresoras y teléfonos gratis, y hablar con un consejero de empleo. Puede llegar sin cita.",,verified-2026-08,,,
Y,Resource audit additions Aug 2026,Agencia ALPHA - East Boston Office,immigration,Get immigration help; Apply for citizenship,https://www.agenciaalpha.org/,"70 White St, East Boston, MA 02128",617-522-6382,Thursday and Saturday 9:30am-4pm,ENG; ESP,Import,Get help with immigration papers and citizenship right here in East Boston. This office is open Thursdays and Saturdays. Español: Reciba ayuda con papeles de inmigración y ciudadanía aquí mismo en East Boston. Esta oficina abre los jueves y sábados.,,verified-2026-08,,,
Y,Resource audit additions Aug 2026,Boston Public Library - East Boston,family,Take English classes; Use free computers,https://www.bpl.org/locations/east-boston/,,617-859-2446,,ENG; ESP,Import,"Use computers, wifi, and printing for free. They also have free English conversation groups where you can practice speaking. You do not need papers or money to join. Español: Use computadoras, wifi e impresión gratis. También tienen grupos gratuitos de conversación en inglés donde puede practicar. No necesita papeles ni dinero para participar.",,verified-2026-08,,,
Y,Resource audit additions Aug 2026,Rian Immigrant Center,immigration,Apply for citizenship; Talk to a lawyer; Get immigration help,https://www.riancenter.org/,"One State St, Suite 800, Boston, MA 02109",617-542-7654,Free citizenship clinic Wednesdays 10am-1pm,ENG; ESP,Import,"Get free help with citizenship and immigration papers. They have a free citizenship clinic every Wednesday morning. They help people from every country, not only Ireland. Español: Reciba ayuda gratuita con la ciudadanía y papeles de inmigración. Tienen una clínica de ciudadanía gratis todos los miércoles por la mañana. Ayudan a personas de todos los países, no solo de Irlanda.",,verified-2026-08,,,
Y,Resource audit additions Aug 2026,Mass 211,general,Find help near you; Find your benefits,https://mass211.org/,,211,"Call anytime, 24 hours a day",ENG; ESP,Import,Call 2-1-1 anytime if you need help but do not know where to start. They listen to your problem and tell you where to go. Free and in many languages. Español: Llame al 2-1-1 en cualquier momento si necesita ayuda pero no sabe por dónde empezar. Escuchan su problema y le dicen adónde ir. Es gratis y en muchos idiomas.,,verified-2026-08,,,
Y,Resource audit additions Aug 2026,Metro Housing Boston,housing,Get rent help; Get housing help,https://www.metrohousingboston.org/,"1411 Tremont St, Boston, MA 02120",617-425-6700,,ENG; ESP,Import,This is the office that handles rent help (RAFT) for East Boston. Call them if you owe rent or are afraid of losing your home. Español: Esta es la oficina que maneja la ayuda con la renta (RAFT) para East Boston. Llame si debe renta o tiene miedo de perder su casa.,,verified-2026-08,,,
